대여소 그룹,팀명,대여소 명,대여 건수
성북구,훈련원2팀,1365. 선잠단지 앞,460
은평구,상암3팀,952. 서울연신중학교,464
서대문구,상암1팀,171. 임광빌딩 앞,466
강남구,이수1팀,3634. 국악고교 앞 교차로,467
강남구,학여울1팀,2363. 강남 을지병원 교차로,467
은평구,상암3팀,973.제각말푸르지오 5-1단지 아파트,469
도봉구,도봉3팀,1756.서울북부광역등기국,470
성동구,중랑2팀,3551.성동도로사업소,474
중랑구,중랑3팀,1459. 용마한신아파트사거리,474
도봉구,도봉3팀,1723. 방학동학마을도서관,475
송파구,천호2팀,4473. 마천금호어울림 1차 102동앞,476
용산구,세종로3팀,4609. 파크타워 104동 앞,479
용산구,세종로 4팀,4625. 용산공원갤러리앞,480
서대문구,상암1팀,3117.이화여대 인문관 인근,481
송파구,천호2팀,4882. 위례포레샤인18단지 1802동,481
금천구,천왕3팀,1820. 신한은행 시흥대로금융센터지점,481
강동구,천호1팀,3672. 고덕중학교 후문,483
영등포구,영남3팀,4585. 국회6문,483
관악구,영남2팀,3310.영락고등학교,483
강남구,학여울2팀,3611. 방죽마을 입구,484
서초구,이수3팀,2548.반포1동 자율방범초소 옆,486
강동구,천호1팀,1071.명일근린공원공동체텃밭,487
강북구,도봉4팀,1510. 번동주공5단지 관리사무소 앞,487
동작구,이수2팀,2041. 사당중학교 버스정류소,488
마포구,상암1팀,4234. 에스테반,490
구로구,천왕1팀,2817.천왕이펜하우스5단지 앞,490
중구,세종로 4팀,4752. 삼성사이버빌리지아파트,490
서초구,이수3팀,4304. 서울고앞,491
금천구,천왕3팀,1823. 상신정비공업 앞,492
강북구,도봉4팀,1513. 강북구청 뒷편,493
구로구,천왕2팀,2825.초롱타운 앞,493
구로구,천왕2팀,1910. 낙원교회 맞은편,494
성동구,중랑2팀,534. 금호사거리,495
동대문구,훈련원4팀,681.서울특별시 동부교육지원청(육교),495
서초구,이수1팀,2203. 청계산입구역 2번출구,496
강남구,학여울2팀,2376. 수서역 6번출구 앞,497
중구,훈련원1팀,428. 명보사거리,499
송파구,학여울2팀,1263. 장지공영차고지,499
강남구,학여울2팀,2351. 청소년수련관(수영장)앞,499
강남구,학여울1팀,3630. 개포우성6차아파트 정문 앞,500
중랑구,중랑3팀,4840. 서울시 북부병원 앞,500
성동구,중랑2팀,3530. 왕십리자이아파트 후문(삼거리),501
동작구,영남2팀,4162. 노량진1동 청소년독서실,504
종로구,훈련원1팀,3402.이화공영주차장,504
